Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
Aldeia do Carlos;TL;317;34;PI;381;55;São Raimundo Nonato;23L;753628;9002823
PR-JA-5;SI-139;310;50;PR;381;64;Cambará;22K;594707;7451460
SC-ARA-008;Beta 366851;320;30;SC;383;54;Araranguá;22J;646294;6796591
Cemitério Figueirinha;Beta 214144;320;40;SC;384;58;Balneário Gaivota;22J;637522;6778579
ACH-SU-03-M2-1;Beta226115;320;40;SC;386;59;Águas de Chapecó;22J;303335;7003689
MS-CP-71;Beta 105724;340;80;MS (Pantanal);387;79;Corumbá;21K;431871;7898164
MT-PO-61;U Toronto;340;80;MS (Pantanal);387;79;Corumbá;21K;431871;7898164
Posto Fiscal;Beta 304479;330;30;RS;387;58;Pinhal da Serra;22J;483116;6916602
Alto Paraná 8/ MS-PR-35;FATEC 396;330;40;MS;390;40;Santa Rita do Pardo;22K;390473;7607599
Baggio 1;Beta 414081;340;30;SC;392;62;Campo Belo do Sul;22J;523684;6913713
Baggio 1;Beta 414085;340;30;SC;392;62;Campo Belo do Sul;22J;523684;6913713
SC-ARA-008;Beta 366853;340;30;SC;392;62;Araranguá;22J;646294;6796591
SC-ARA-008;Beta 366854;340;30;SC;392;62;Araranguá;22J;646294;6796591
RS-PE-29;Beta 242860;340;40;RS;394;64;Pinhal da Serra;22J;483116;6916602
SC-AB-93D;Beta 190299;340;40;SC;394;64;Abdon Batista;22J;497448;6946117
PR-FI-118;SI-5023;340;60;PR;395;69;Foz do Iguaçu;21J;744414;7175482
Baggio 1;Beta 414082;350;30;SC;396;66;Campo Belo do Sul;22J;523684;6913713
Baggio 1;Beta 414084;350;30;SC;396;66;Campo Belo do Sul;22J;523684;6913713
RS-T-114;Beta 388513;350;30;RS;396;66;Marques de Souza;22J;393478;6755391
SC-ARA-008;Beta 366850;350;30;SC;396;66;Araranguá;22J;646294;6796591
SC-PQ-8;Beta 487450;350;30;SC;396;66;Lages;22J;566367;6922899
Abrigo do Jon;Beta 329692;350;30;TO;397;61;Palmas;22L;793117;8866530
AM-IT-35 (Bom Socorro);Beta-420227;350;30;AM;397;61;Itacoatiara;21M;339570;9653129
Bom Futuro;Beta-324178;350;30;PA;397;61;Santarém;21M;753116;9730567
Chã do Caboclo;MC 1053;370;95;PE;398;87;Bom Jardim ;25M;215130;9136871
Córrego do Maranhão;Beta 290694;350;50;MG;398;65;Carangola;23K;809342;7704540
Córrego do Maranhão;Beta 290695;350;50;MG;398;65;Carangola;23K;809342;7704540
Itacoatiara I;Bah-1525;420;160;BA;398;158;Rodelas;24L;525639;9022157
RS-PE-21;Beta 242868;350;40;RS;398;66;Pinhal da Serra;22J;483116;6916602
SC-AG-108;Beta 226125;350;40;SC;398;66;Anita Garibaldi;22J;487123;6937474
Gramado;N/A;359;40;SP;400;9;Brotas;22K;796216;7533067
Prado;TL;358;50;MG;400;50;Carangola;23K;809342;7704540
RS-PE-10b;SI-6559;355;50;RS;400;69;Esmeralda;22J;481219;6896649
MT-FX-06;BETA-81301;360;70;MT;401;72;Paranatinga;21L;817759;8403174
ACH-SU-01-C3-340;Beta236426;360;40;SC;402;69;Águas de Chapecó;22J;303335;7003689
Aldeia do Carlos;TL;359;35;PI;402;64;São Raimundo Nonato;23L;753628;9002823
Baggio 1;Beta 414091;360;30;SC;402;69;Campo Belo do Sul;22J;523684;6913713
Lagoa dos Freitas;BETA 403221;360;30;SC;402;64;Balneário Rincão;22J;672192;6809436
Paquiçamba 3;Beta-345926;360;30;PA;402;64;Altamira;22M;365167;9645100
PR-SA-44;Beta 180909;360;60;PR;402;72;Ortigueira;22J;507424;7322813
Queima Cocão;CSIC 802;360;50;PE;402;67;Tacuruba;24L;534557;9035334
RS-T-114;Beta 422489;360;30;RS;402;69;Marques de Souza;22J;393478;6755391
